model_name,parameters,model_size_mb,gpu_memory_usage_mb,cpu_memory_usage_mb,inference_time_ms,training_time_per_epoch_s,points_per_second
PointNet,3536526,13.538276672363281,751.19140625,787.27734375,2.799711227416992,53.22012519836426,5852032.109438603
DGCNN,1546245,5.914623260498047,17807.97216796875,2156.29296875,5618.804416656494,2433162.1563863754,2915.922816503623
PointNet2,810501,3.1163597106933594,827.384765625,1491.4921875,460.7846260070801,602.320520401001,35556.741860020855
BridgeSeg,7937853,30.353694915771484,1810.1240234375,1489.81640625,376.9507932662964,814.0298004150391,43464.55901586483
