Metrics,Dataset 1,Dataset 2
MAE (m),0.22500000000000003,0.7555555555555559
RMSE (m),0.27390691849604676,0.9008884503644167
R²,0.6149108174002308,0.4768554476120146
Pearson r,0.8810463454562508,0.7726472425164236
RPE (%),5.21477649186932,5.454355257623534
