,Background,Pier,Girder,Deck,Parapet
Background,0.9453865434322863,0.030195034072217436,0.024398840761337824,0.0,1.9581734158377067e-05
Pier,0.0027151425287244195,0.9732826723505819,0.02400055928684424,0.0,1.6258338495355807e-06
Girder,0.019271008618545235,0.049070917246682895,0.8843755741225782,0.004818971530023461,0.04246352848217029
Deck,1.6258338495355807e-06,0.0,0.01920434943071428,0.9364103864769644,0.044383638258471816
Parapet,9.279149287593313e-06,9.279149287593314e-07,0.0034462760454121565,0.010915063306996015,0.9856284535833755
