,Background,Pier,Girder,Deck,Parapet
Background,285815.0,12992.0,5530.0,7.0,24.0
Pier,1474.0,1165447.0,55027.0,0.0,0.0
Girder,84.0,7029.0,1200487.0,93.0,14255.0
Deck,1.0,0.0,1783.0,1184332.0,35832.0
Parapet,29.0,0.0,44752.0,28424.0,2067815.0
