,Background,Pier,Girder,Deck,Parapet
Background,0.9691640299622009,0.015085028907519034,0.015656635642085654,1.5396814399100827e-05,7.890867379539174e-05
Pier,0.005135683580913263,0.9814376174800203,0.013413276075231316,1.0067147876335155e-05,3.355715958778385e-06
Girder,0.0030834235781232247,0.027035085927901003,0.9545156671187296,0.0015326034171734995,0.013833219958072726
Deck,0.00010210964274568515,9.587759882223957e-07,0.019406105389615402,0.9581753150657745,0.02231551112587626
Parapet,0.00021942874653380556,1.915213498424737e-06,0.01687084210569516,0.018705890239114405,0.9642019236951582
