Class,HB-15-1.h5,HB-15-2.h5,HB-20-1.h5,HB-20-2.h5,HB-8.h5
Background,90.5928373336792,93.41702461242676,86.86501979827881,86.98338270187378,93.64349246025085
Deck,94.88769769668579,94.71079707145691,91.45135879516602,95.96618413925171,92.63802766799927
Girder,89.64279294013977,90.32738208770752,83.80160331726074,88.15174102783203,89.51835632324219
Parapet,95.33054232597351,94.37204003334045,93.90782117843628,96.31662368774414,94.4699227809906
Pier,91.12955927848816,93.83865594863892,92.1151340007782,93.19812655448914,95.21154761314392
