,Background,Pier,Girder,Deck,Parapet
Background,0.9390441833569889,0.0426851705829785,0.01816879566840141,2.2998475529622036e-05,7.885191610156126e-05
Pier,0.0012062706432679623,0.9537615348607306,0.04503219449600147,0.0,0.0
Girder,6.87426960885406e-05,0.005752290604837521,0.9824370595148075,7.610798495516994e-05,0.011665799199311263
Deck,8.183654296254833e-07,0.0,0.0014591455610222367,0.9692163659992078,0.029323670074340315
Parapet,1.3544945866923242e-05,0.0,0.02090218680815686,0.013275915217980215,0.965808353027996
