,Background,Pier,Girder,Deck,Parapet
Background,0.9848162487596716,0.005522885962829714,0.006802783205800172,0.0007411533380815847,0.002116928733617011
Pier,0.0010109935598914177,0.9935564797408946,0.005430631323211268,1.8953760027960586e-06,0.0
Girder,0.006676651507449396,0.006064824133746829,0.9704704209516379,0.003396892872211096,0.013391210534954713
Deck,0.001289234757101879,9.097804813421081e-06,0.0037528444855361963,0.9486391010762324,0.0463097218763161
Parapet,0.0010363176324360928,0.0,0.008697279503952177,0.006266800948046736,0.983999601915565
