Class,cb6.h5,cb9.h5
Background,96.76816463470459,94.39169764518738
Deck,93.68898272514343,93.50217580795288
Girder,94.82237100601196,94.57699656486511
Parapet,95.56398391723633,95.12994885444641
Pier,98.7524926662445,98.62096309661865
