,Background,Pier,Girder,Deck,Parapet
Background,0.9833902477645027,0.006269550331179249,0.007360783716198653,0.0010187832561029898,0.0019606349320163844
Pier,0.0013916027934007516,0.9933638406897587,0.005243254214761147,9.302157709898073e-07,3.720863083959229e-07
Girder,0.0037292350258981374,0.005005118977387757,0.9706795988984013,0.0040901587450421825,0.01649588835327065
Deck,0.0008507753441472777,4.465035700751075e-06,0.005810313748756534,0.9499895536768918,0.04334489219450365
Parapet,0.0006872016653385227,0.0,0.006904826498037515,0.006066954381043342,0.9863410174555807
