,Background,Pier,Girder,Deck,Parapet
Background,1316614.0,8394.0,9855.0,1364.0,2625.0
Pier,7480.0,5339427.0,28183.0,5.0,2.0
Girder,20045.0,26903.0,5217497.0,21985.0,88667.0
Deck,4573.0,24.0,31231.0,5106286.0,232983.0
Parapet,6472.0,0.0,65029.0,57138.0,9289266.0
