case,component,true_length,pred_length,true_width,pred_width
cb2,Deck,54.432,53.504,12.665,13.287
cb6,Deck,58.802,54.965,15.304,13.455
cb9,Deck,53.055,51.908,13.736,13.013
cb2,Girder,54.931,50.648,11.677,12.257
cb6,Girder,73.264,69.808,14.148,15.256
cb9,Girder,65.429,62.316,12.807,14.633
cb2,Parapet,62.557,58.52,14.382,13.194
cb6,Parapet,73.259,69.001,15.05,14.887
cb9,Parapet,62.391,56.982,15.859,16.325
