,Background,Abumtment,Girder,Deck,Parapet
Background,0.9627853033958063,0.028882909630729262,0.00282983856002969,0.004905053504051463,0.0005968949093833116
Abumtment,0.06246133817111735,0.8922291168347951,0.045261783432130435,4.776156195714555e-05,0.0
Girder,0.018390512396821546,0.001993660037824076,0.9682662938183443,0.0029966528389241322,0.008352880908085955
Deck,0.004093628068391475,0.0,0.010535276150418106,0.985223189008678,0.00014790677251245074
Parapet,0.00017454577429956364,0.0,0.0012139065058969652,0.0,0.9986115477198034
