,Background,Abumtment,Girder,Deck,Parapet
Background,284282.0,13675.0,677.0,184.0,246.0
Abumtment,6772.0,1190559.0,3298.0,2.0,23.0
Girder,39507.0,56311.0,1085086.0,13258.0,6492.0
Deck,31268.0,0.0,4671.0,1164715.0,0.0
Parapet,252.0,0.0,3744.0,0.0,2099714.0
