Class,bridge-3.h5,bridge-7.h5
Abumtment,88.41059803962708,93.69758367538452
Background,71.72873020172119,75.43377876281738
Deck,98.10379147529602,95.932537317276
Girder,91.46418571472168,89.45149779319763
Parapet,99.37061071395874,99.4903028011322
