,Background,Abumtment,Girder,Deck,Parapet
Background,595589.0,23014.0,1592.0,1770.0,439.0
Abumtment,87854.0,2348775.0,62053.0,64.0,23.0
Girder,63380.0,58899.0,2342007.0,17148.0,17335.0
Deck,36582.0,0.0,18347.0,2443648.0,192.0
Parapet,649.0,0.0,6505.0,0.0,4371031.0
