,Background,Abumtment,Girder,Deck,Parapet
Background,311307.0,9339.0,915.0,1586.0,193.0
Abumtment,81082.0,1158216.0,58755.0,62.0,0.0
Girder,23873.0,2588.0,1256921.0,3890.0,10843.0
Deck,5314.0,0.0,13676.0,1278933.0,192.0
Parapet,397.0,0.0,2761.0,0.0,2271317.0
