Class,cb6.h5,cb9.h5
Background,96.39269709587097,95.81820368766785
Deck,93.60013008117676,93.42488050460815
Girder,94.96667385101318,94.24852728843689
Parapet,95.50642967224121,94.82132196426392
Pier,99.00947213172913,98.62937331199646
