,Background,Pier,Girder,Deck,Parapet
Background,0.9819390044605378,0.006657942774854876,0.008537911583954014,0.0006759522337046963,0.0021891889469485798
Pier,0.0008425894453625674,0.9953278982686266,0.0038291401997024425,3.720863083959229e-07,0.0
Girder,0.0020388469268554595,0.005524179377600069,0.9693672504886889,0.005009770056242706,0.01805995315061291
Deck,0.000983982242553018,3.1627336213653445e-06,0.005854219933147253,0.9570020782880756,0.03615655680260282
Parapet,0.0008767342630871728,0.0,0.007285802946621356,0.010386173995171962,0.9814512887951196
