,Background,Pier,Girder,Deck,Parapet
Background,0.9826293137559277,0.006008364227404715,0.00851032744671914,0.0006452751855166158,0.002206719384431823
Pier,0.0006031086440897058,0.9947198615314108,0.004676650749298995,3.790752005592117e-07,0.0
Girder,0.0026868850215636926,0.007041700925587918,0.972893848708813,0.0035132689587827745,0.01386429638525261
Deck,0.0015720248567190512,4.927977607269753e-06,0.004960578074517844,0.9555052901839614,0.03795717890719443
Parapet,0.0008522035812454634,0.0,0.011704115089671764,0.010888474698380727,0.976555206630702
