,Background,Pier,Girder,Deck,Parapet
Background,0.9812736884101336,0.007284002769270485,0.008564497013646871,0.0007055185928350993,0.002172293214113892
Pier,0.001073399637133928,0.9959139205099707,0.0030123145024401757,3.6535045511706195e-07,0.0
Girder,0.0014142716117581467,0.0040616010095363775,0.9659683358067559,0.0064520890373673135,0.022103702534582246
Deck,0.0004172302197436847,1.4614018204682478e-06,0.006715506715506716,0.9584446738845303,0.034421127778398876
Parapet,0.0009003767903798556,0.0,0.0030274596154527844,0.009902059523288232,0.9861701040708791
