,Background,Pier,Girder,Deck,Parapet
Background,669001.0,4966.0,5839.0,481.0,1481.0
Pier,2938.0,2725914.0,8245.0,1.0,0.0
Girder,3871.0,11117.0,2643950.0,17660.0,60500.0
Deck,1142.0,4.0,18381.0,2623357.0,94214.0
Parapet,4318.0,0.0,14519.0,47488.0,4729445.0
