,Background,Pier,Girder,Deck,Parapet
Background,459657.0,1867.0,3271.0,449.0,1364.0
Pier,5401.0,129287.0,5802.0,0.0,0.0
Girder,5993.0,1574.0,359095.0,2563.0,1753.0
Deck,3507.0,0.0,4861.0,113983.0,10677.0
Parapet,3906.0,0.0,411.0,1003.0,30456.0
