,Background,Pier,Girder,Deck,Parapet
Background,0.9851031272502829,0.004001217295888626,0.007010166992421904,0.0009622638274525941,0.002923224633953983
Pier,0.03844401736778418,0.9202576695850239,0.04129831304719197,0.0,0.0
Girder,0.01615459676854153,0.0042428391980117415,0.9679684509593561,0.006908765479354571,0.004725347594736076
Deck,0.026362870974531678,0.0,0.03654117930059837,0.8568346513515952,0.0802612983732748
Parapet,0.10917933810375671,0.0,0.01148814847942755,0.028035554561717354,0.8512969588550984
