,Background,Pier,Girder,Deck,Parapet
Background,0.998058748403576,0.000561941251596424,0.0002554278416347382,0.0003065134099616858,0.0008173690932311622
Pier,0.0355561902041982,0.9371697843781237,0.02727402541767814,0.0,0.0
Girder,0.009764872157265837,0.00038545547989207247,0.9664653732493897,0.013619426956186561,0.009764872157265837
Deck,0.00018018018018018018,0.0,0.011531531531531532,0.9317117117117117,0.056576576576576575
Parapet,0.10581506196377502,0.0,0.009532888465204958,0.029551954242135366,0.8551000953288846
