,Background,Pier,Girder,Deck,Parapet
Background,0.9955072121068811,0.0028966658784582646,0.0005320406715535588,0.00017734689051785292,0.0008867344525892646
Pier,0.01629735525375268,0.956397426733381,0.027305218012866332,0.0,0.0
Girder,0.00018246510354894625,0.00930572028099626,0.9834869081288203,0.0006386278624213119,0.006386278624213119
Deck,0.0,0.0,0.024620119253702635,0.9340257741873437,0.04135410655895364
Parapet,0.003374578177727784,0.0,0.03937007874015748,0.19347581552305962,0.7637795275590551
