,Background,Pier,Girder,Deck,Parapet
Background,23853.0,0.0,618.0,52.0,153.0
Pier,0.0,0.0,0.0,0.0,0.0
Girder,499.0,0.0,4719.0,686.0,63.0
Deck,460.0,0.0,187.0,7580.0,762.0
Parapet,382.0,0.0,2.0,3.0,941.0
