,Background,Pier,Girder,Deck,Parapet
Background,0.9920531084944517,9.69133110432718e-05,0.00436109899694723,0.0004361098996947231,0.0030527692978630614
Pier,0.06587874808492011,0.9253666010067848,0.008754650908295032,0.0,0.0
Girder,0.04563275974733173,0.0017425397516880855,0.9362883903289044,0.013395774341102156,0.0029405358309736443
Deck,0.008542538354253835,0.0,0.16195955369595538,0.6591701534170153,0.17032775453277546
Parapet,0.12081339712918661,0.0,0.005980861244019139,0.0,0.8732057416267942
