,Background,Pier,Girder,Deck,Parapet
Background,0.9890575977855435,0.004669597087437749,0.0030927709523055754,0.000627077574975343,0.0025529565997378044
Pier,0.004868587563681747,0.9910266140860221,0.0041045456073400596,2.5274295611699876e-07,0.0
Girder,0.007521377631085766,0.0023247297103641544,0.9837236063690213,0.00041753136350528193,0.006012754926023401
Deck,0.00045544280692283174,0.0,0.0008307660967565749,0.9567167577931395,0.0419970333031811
Parapet,0.0005516059537092399,0.0,0.006296154986271157,0.005536398564151238,0.9876158404958684
