case,component,true_length,pred_length,true_width,pred_width
b1,Deck,5.52 ,5.61 ,4.89 ,4.62
b2,Deck,9.56 ,8.74 ,5.31 ,5.54
b7,Deck,18.94 ,18.70 ,4.00 ,4.45
b1,Girder,5.37 ,5.60 ,4.53 ,4.36
b2,Girder,9.44 ,9.66 ,4.70 ,4.68
b7,Girder,19.51 ,19.42 ,3.95 ,3.50
b1,Parapet,5.37 ,5.26 ,4.68 ,4.67
b7,Parapet,18.73 ,18.65 ,4.14 ,3.94
