,Background,Pier,Girder,Deck,Parapet
Background,0.9871629777469704,0.005918305965214204,0.0041082056552812106,0.0007603915194684131,0.002050119113065787
Pier,0.00370914470873837,0.9910539706354415,0.005232543428398771,4.341227421276182e-06,0.0
Girder,0.0040884439502887285,0.0012258385886992145,0.9858110082612318,0.0008641523269723189,0.008010556872807991
Deck,0.001138641935066153,0.0,0.0014611331149323836,0.9591091106735153,0.03829111427648608
Parapet,0.0005223649206364938,0.0,0.0033515879072414686,0.003802454173610059,0.992323592998512
