Class,cb6.h5,cb9.h5
Background,96.20289206504822,93.7095046043396
Deck,95.63851356506348,94.69869136810303
Girder,97.75043725967407,96.75296545028687
Parapet,97.18745946884155,96.09367251396179
Pier,98.91606569290161,98.75820875167847
