,Background,Abutment,Girder,Deck,Parapet
Background,613571.0,13652.0,203.0,2715.0,128.0
Abutment,61575.0,1156596.0,43908.0,0.0,0.0
Girder,1987.0,3670.0,1231791.0,2947.0,21684.0
Deck,3098.0,10.0,17816.0,1241135.0,20.0
Parapet,29.0,0.0,2011.0,0.0,1893390.0
