,Background,Abutment,Girder,Deck,Parapet
Background,0.9674229373364112,0.028775375085200422,0.0011021152479067944,0.002466948743100596,0.0002326235873810651
Abutment,0.029380392653845747,0.9524780313203467,0.018141576025807564,0.0,0.0
Girder,0.00565616833081903,0.017795910011478875,0.9571829072827077,0.0055964586902710655,0.01376855568472335
Deck,0.010480869762306888,4.0618803093853e-06,0.01000197407383036,0.9795049705229346,8.1237606187706e-06
Parapet,3.2184952588048835e-05,0.0,0.0010055769220366855,0.0,0.9989622381253752
