Class,bridge-3.h5,bridge-7.h5
Abutment,90.40066003799438,94.18405294418335
Background,88.03557753562927,89.3211305141449
Deck,97.90130853652954,96.64223194122314
Girder,92.89405941963196,92.93158650398254
Parapet,98.75488877296448,99.21910166740417
