,Background,Abumtment,Girder,Deck,Parapet
Background,777694.0,177535.0,19006.0,351.0,10938.0
Abumtment,286261.0,2989029.0,670093.0,11206.0,0.0
Girder,16197.0,7334.0,3328361.0,444181.0,160516.0
Deck,570779.0,3.0,30932.0,2972032.0,382843.0
Parapet,63743.0,0.0,68565.0,3448.0,6796729.0
