Class,bridge-2.h5,bridge-7.h5
Abumtment,96.9019889831543,96.10010385513306
Background,44.95631158351898,80.43460845947266
Deck,82.9883337020874,96.00088596343994
Girder,71.94940447807312,93.69659423828125
Parapet,0.0,99.4336485862732
