,Background,Abumtment,Girder,Deck,Parapet
Background,800637.0,186021.0,35356.0,123.0,515.0
Abumtment,131498.0,2939510.0,957337.0,77277.0,25.0
Girder,28926.0,45.0,1421710.0,2331250.0,323716.0
Deck,1735619.0,0.0,83351.0,2038077.0,248600.0
Parapet,89405.0,2.0,152173.0,2548.0,6949527.0
