,Background,Abumtment,Girder,Deck,Parapet
Background,0.923840415968122,0.07265876197649651,0.0022171198095099253,0.0006823464619222328,0.0006013557839492674
Abumtment,0.0024776155723566333,0.9961902336378363,0.001306205609884696,1.0139495601844673e-05,1.5805684320522576e-05
Girder,0.06352081073270664,0.03450274082244342,0.8626724140974451,0.03152160153399311,0.007782432813411747
Deck,0.05511602537624843,1.5130126654290222e-06,0.00907252827946756,0.9357983335678502,1.159976376828917e-05
Parapet,0.0,0.0,0.002019765081689016,0.0,0.997980234918311
