,Background,Abumtment,Girder,Deck,Parapet
Background,0.7829026883045259,0.1819005878832682,0.03457285567328867,0.00012027551894486101,0.0005035926199723856
Abumtment,0.032028569431322276,0.7159675442141031,0.23317567243360182,0.018822124746720795,6.0891742519510325e-06
Girder,0.007045418176477422,1.0960513653511858e-05,0.3462815970296521,0.5678154989944337,0.07884652528578322
Deck,0.42273946103987997,0.0,0.02030155052297482,0.49640823967574416,0.06055074876140107
Parapet,0.01242831356243801,2.78022785357374e-07,0.021153780658093833,0.00035420102854529444,0.9660634267281375
