,Background,Abumtment,Girder,Deck,Parapet
Background,173441.0,20927.0,327.0,122.0,3.0
Abumtment,4075.0,2146755.0,1736.0,2.0,2.0
Girder,108432.0,41889.0,573272.0,50483.0,8069.0
Deck,78472.0,2.0,12563.0,691087.0,21.0
Parapet,0.0,0.0,0.0,0.0,0.0
