,Background,Abumtment,Girder,Deck,Parapet
Background,0.7891172614771431,0.18014274639684066,0.019285172152073416,0.00035615571005881137,0.011098664263883985
Abumtment,0.07235045136100818,0.7554560253794367,0.16936128569330805,0.002832237566247088,0.0
Girder,0.004093677660227029,0.0018536168401620688,0.8412197981645301,0.11226361899100462,0.04056928834407617
Deck,0.14426037174950443,7.582288683509963e-07,0.007817845118611005,0.7511601533543161,0.09676087154870015
Parapet,0.00919482696320295,0.0,0.009890392838931495,0.0004973685482190009,0.9804174116496466
