,Background,Abumtment,Girder,Deck,Parapet
Background,282829.0,14958.0,768.0,215.0,294.0
Abumtment,4233.0,1193694.0,2644.0,32.0,51.0
Girder,17517.0,26523.0,1137234.0,12018.0,7362.0
Deck,30812.0,1.0,5426.0,1164413.0,2.0
Parapet,0.0,0.0,4249.0,0.0,2099461.0
