,Background,Pier,Girder,Deck,Parapet
Background,0.9967867368500019,0.0025255998299596153,0.00011252672509721059,0.00016253860291819307,0.0004125979920231055
Pier,0.010688028091737078,0.9811258641501153,0.008142214418961922,0.0,4.389333918577856e-05
Girder,8.853788536114603e-05,0.0055778867777522,0.9933419510208418,0.0003718591185168133,0.0006197651975280222
Deck,0.001841136244082062,0.0,0.0022619673855865333,0.990163072067333,0.005733824302998422
Parapet,0.0010607265977194379,0.0,0.05091487669053302,0.13975072924953594,0.8082736674622116
