,Background,Pier,Girder,Deck,Parapet
Background,0.1752988047808765,0.0,0.22310756972111553,0.20318725099601595,0.398406374501992
Pier,0.0,0.9648434714397776,0.03515652856022249,0.0,0.0
Girder,2.6119719735407237e-05,0.0028927589606963515,0.9967480948929418,7.182922927236991e-05,0.0002611971973540724
Deck,0.002807709819395963,7.588404917286387e-05,0.012748520261041129,0.9803080892396419,0.004059796630748217
Parapet,0.0006346903617735063,0.0,0.02194215250702693,0.048236467494786474,0.929186689636413
