,Background,Pier,Girder,Deck,Parapet
Background,0.9959737032493473,0.0009122078575697525,2.097029557631615e-05,0.0024744948780053054,0.0006186237195013264
Pier,0.030692575984055805,0.9530974921109451,0.01620993190499917,0.0,0.0
Girder,0.0009160590764628903,0.0032716395587960366,0.995176668536175,1.869508319312021e-05,0.0006169377453729669
Deck,0.00036307524734501223,0.0,0.0017699918308069348,0.9786239448125624,0.01924298810928565
Parapet,0.0013164823591363876,0.0,0.013428120063191154,0.037914691943127965,0.9473407056345445
