,Background,Pier,Girder,Deck,Parapet
Background,0.9912250431353217,0.0026620655656889327,0.006104675047243447,8.216251745953496e-06,0.0
Pier,0.0364568499003133,0.9498718313870692,0.013671318712617488,0.0,0.0
Girder,0.0047572830981209525,0.0008591748739081319,0.99228333678064,0.0008750855197212455,0.0012251197276097437
Deck,0.001786777843954735,0.0,0.018016676593210244,0.9758784991066111,0.004318046456223943
Parapet,0.004013377926421404,0.0,0.018060200668896322,0.032107023411371234,0.945819397993311
