,Background,Pier,Girder,Deck,Parapet
Background,0.9980877509826835,0.0012394206593717909,5.9020031398656706e-05,0.0002006681067554328,0.00041314021979059696
Pier,0.012064648304120192,0.9800819485545186,0.007853403141361256,0.0,0.0
Girder,0.002490269502499493,0.003449484421980779,0.9932670491228718,0.0002398037298703215,0.000553393222777665
Deck,0.001626569829021032,0.0,0.00045392646391284613,0.9906945074897866,0.007224996217279467
Parapet,0.0130475302889096,0.0,0.03494874184529357,0.13630009319664493,0.8157036346691519
