,Background,Pier,Girder,Deck,Parapet
Background,0.9904633862149324,0.0,0.0033163036658599983,0.0010755579456843238,0.005144752173523348
Pier,0.0005801585766776252,0.9357957841810095,0.0636240572423129,0.0,0.0
Girder,0.06114736094062924,0.0035693520253246335,0.9348149105239356,0.00017766005555914464,0.0002907164545513276
Deck,0.04712119198452428,0.0,0.0012404199707615293,0.9364580103072992,0.015180377737414905
Parapet,0.14687873882750369,0.0,0.011190090787529031,0.02779928214511929,0.814131888239848
