,Background,Pier,Girder,Deck,Parapet
Background,0.9983548121743899,0.0010663254425250586,8.124384324000447e-05,0.00014217672567000782,0.00035544181417501957
Pier,0.0130388580947184,0.9786036359458916,0.008357505959389989,0.0,0.0
Girder,0.006318745611982214,0.004940582988792678,0.987154484229139,0.0005200613672413345,0.0010661258028447356
Deck,0.0014432617716038246,0.0,0.0011546094172830597,0.9870828071441458,0.010319321666967347
Parapet,0.05936329588014981,0.0,0.02453183520599251,0.06741573033707865,0.8486891385767791
