,Background,Pier,Girder,Deck,Parapet
Background,0.9611340916925198,0.0,0.018384465126967713,0.004739744915546363,0.015741698264966103
Pier,0.052104722792607805,0.8657597535934292,0.08213552361396304,0.0,0.0
Girder,0.04865383297937932,0.0016715763513050627,0.9492224429677331,0.00010961156402000411,0.00034253613756251287
Deck,0.0013084471810659996,0.0,0.0046437047014303125,0.9779103328843564,0.01613751523314733
Parapet,0.026030561478322674,0.0,0.033404406538734895,0.0955046197583511,0.8450604122245914
