Class,cb6-1.h5,cb6-10.h5,cb6-11.h5,cb6-12.h5,cb6-13.h5,cb6-2.h5,cb6-3.h5,cb6-4.h5,cb6-5.h5,cb6-6.h5,cb6-7.h5,cb6-8.h5,cb6-9.h5,cb9-1.h5,cb9-10.h5,cb9-11.h5,cb9-12.h5,cb9-13.h5,cb9-14.h5,cb9-15.h5,cb9-2.h5,cb9-3.h5,cb9-4.h5,cb9-5.h5,cb9-6.h5,cb9-7.h5,cb9-8.h5,cb9-9.h5
Background,94.32240128517151,0.043821209692396224,98.54868650436401,0.0,90.85859656333923,99.21965599060059,99.15199875831604,99.01560544967651,99.4838297367096,99.78801608085632,99.06677007675171,98.55003952980042,92.8350031375885,96.65693044662476,98.34144115447998,97.3490834236145,97.2188413143158,13.0952388048172,85.19860506057739,85.43304800987244,98.56368899345398,98.57823252677917,99.36369061470032,99.62832927703857,99.0212619304657,99.03953075408936,98.77817034721375,94.45737600326538
Deck,92.53551959991455,95.62074542045593,93.97542476654053,95.32312154769897,97.48508930206299,97.02419638633728,93.97882223129272,92.04339981079102,92.38606095314026,91.21495485305786,91.12471342086792,95.42807340621948,89.55052495002747,95.785653591156,96.63581848144531,97.7271318435669,97.22854495048523,95.87013125419617,93.0057942867279,96.25014066696167,96.47943377494812,96.19897603988647,96.87855839729309,95.39410471916199,96.17801904678345,96.8171238899231,97.32469916343689,90.86716175079346
Girder,91.40480756759644,97.36339449882507,98.21131229400635,99.4700014591217,96.26651406288147,98.8252341747284,99.52232837677002,99.1041362285614,99.14445281028748,99.50793385505676,99.3316113948822,97.57952094078064,92.57541298866272,87.63254284858704,96.41873240470886,96.83142900466919,96.50588035583496,98.94663691520691,92.35236644744873,92.36830472946167,97.45943546295166,98.4501600265503,98.63449335098267,99.0831196308136,98.26408624649048,98.52160811424255,97.54361510276794,90.62926769256592
Parapet,81.66067600250244,93.61860752105713,96.13122940063477,95.48146724700928,90.43554067611694,92.85162687301636,93.49544048309326,92.20739006996155,95.01063823699951,95.15374302864075,94.06919479370117,91.34367108345032,75.88608860969543,64.10920023918152,92.42693781852722,82.32871294021606,82.71130919456482,90.88329076766968,74.43057298660278,72.68281579017639,77.19546556472778,83.40287208557129,91.2512719631195,79.83529567718506,77.16455459594727,76.9788920879364,79.48088645935059,66.42004251480103
Pier,0.0,95.39847373962402,97.36601114273071,87.76771426200867,80.91902732849121,91.29946827888489,92.77641177177429,93.56181621551514,96.22705578804016,96.92176580429077,92.49233603477478,91.69645309448242,0.0,0.0,97.87455797195435,97.33006358146667,94.94484066963196,93.51672530174255,89.74406719207764,85.24134159088135,94.890695810318,94.48743462562561,97.28938341140747,96.8818724155426,97.01184630393982,97.2005844116211,97.03821539878845,0.0
