,Background,Pier,Girder,Deck,Parapet
Background,2316001.0,5426.0,9323.0,1058.0,1971.0
Pier,10376.0,685157.0,9456.0,0.0,2.0
Girder,18575.0,4251.0,1827989.0,723.0,1553.0
Deck,12538.0,2.0,2724.0,641308.0,8095.0
Parapet,7892.0,0.0,3455.0,8769.0,157756.0
