,Background,Pier,Girder,Deck,Parapet
Background,0.992382312121242,0.002324984499389188,0.0039948084201631776,0.00045334198310979746,0.0008445529760958514
Pier,0.014717918384773706,0.9718663075131455,0.013412937186432166,0.0,2.836915648568563e-06
Girder,0.010023792679366528,0.002294004989501325,0.9864539841810251,0.00039015892905421267,0.0008380592210528247
Deck,0.018863581312145782,3.0090255722038253e-06,0.00409829282934161,0.9648560858294454,0.012179031003494984
Parapet,0.04436898443824773,0.0,0.019424080237474137,0.0492994962669785,0.8869074390572996
