,Background,Pier,Girder,Deck,Parapet
Background,0.9946024293514023,0.00528197193618951,0.0,1.7784417293567378e-05,9.781429511462058e-05
Pier,0.022818730565209437,0.9662520578013536,0.010929211633436986,0.0,0.0
Girder,3.093293739173472e-05,0.0018869091808958178,0.9974944320712695,0.00029386290522147985,0.00029386290522147985
Deck,0.0003787878787878788,0.0,0.03068181818181818,0.9640151515151515,0.004924242424242424
Parapet,0.0009439899307740718,0.0,0.031780994336060416,0.032724984266834484,0.934550031466331
