,Background,Pier,Girder,Deck,Parapet
Background,0.9827175266088333,1.9299244434580388e-05,0.015420096303229729,0.001447443332593529,0.00039563451090889794
Pier,0.0,0.0,0.0,0.0,0.0
Girder,0.028970081218039196,0.0,0.9650831848578106,0.0017585672304880023,0.004188166693662216
Deck,0.07771820016717976,0.0,0.002670798589165936,0.9066239882566414,0.012987012987012988
Parapet,0.11288329776479838,0.0,0.012018420757048186,0.04301920700887341,0.83207907446928
