,Background,Pier,Girder,Deck,Parapet
Background,0.9959683949438729,0.004014558100287241,8.523477919930449e-06,8.523477919930449e-06,0.0
Pier,0.031231585150265175,0.9593400117855039,0.009428403064230996,0.0,0.0
Girder,0.001291822761917065,0.002436008636757894,0.9951279827264842,0.0003875468285751195,0.0007566390462657095
Deck,6.659563132658497e-05,0.0,0.009256792754395312,0.9879461907298881,0.002730420884389984
Parapet,0.0006254886630179827,0.0,0.019546520719311962,0.039405785770132915,0.9404222048475371
