,Background,Pier,Girder,Deck,Parapet
Background,0.9982617308887508,0.0008351460534493474,1.9422001243008078e-05,0.0006117930391547545,0.00027190801740211313
Pier,0.028288663296946015,0.9568873975279276,0.014823939175126364,0.0,0.0
Girder,0.010648596321393998,0.002464137991727537,0.9857872040834287,0.00022001232068995864,0.0008800492827598346
Deck,0.0005589129143815279,0.0,0.0033534774862891675,0.9726132671953052,0.023474342404024174
Parapet,0.03641123274631128,0.0,0.017848643503093765,0.03783912422655878,0.9079009995240361
