,Background,Pier,Girder,Deck,Parapet
Background,120642.0,324.0,743.0,1.0,0.0
Pier,384.0,10005.0,144.0,0.0,0.0
Girder,299.0,54.0,62366.0,55.0,77.0
Deck,12.0,0.0,121.0,6554.0,29.0
Parapet,12.0,0.0,54.0,96.0,2828.0
