,Background,Pier,Girder,Deck,Parapet
Background,0.9825494001222271,0.008767114475334785,0.0048740739152344295,0.00048461975576022045,0.0033247917314434593
Pier,0.02610562716572538,0.9600231010707275,0.013871271763547077,0.0,0.0
Girder,0.012809074944997275,0.0006149540130122654,0.9746994193596136,0.0028016066851018306,0.009074944997275094
Deck,0.032651581796969684,0.0,0.007490834676825608,0.9368149605258687,0.02304262300033603
Parapet,0.08418749117605534,0.0,0.02359169843286743,0.020598616405477905,0.8716221939855994
