Class,HB-15-1.h5,HB-15-2.h5,HB-20-1.h5,HB-20-2.h5,HB-8.h5
Background,89.47368264198303,92.75362491607666,96.7741847038269,88.63636255264282,94.73684430122375
Deck,76.115483045578,82.02898502349854,76.37362480163574,80.26905655860901,84.3137264251709
Girder,59.079283475875854,67.00000166893005,70.52023410797119,75.82417726516724,80.4347813129425
Parapet,94.45471167564392,96.47749662399292,95.91078162193298,93.67088675498962,87.52860426902771
Pier,66.78321957588196,71.11801505088806,89.80891704559326,93.29897165298462,96.55172228813171
