,Background,Pier,Girder,Deck,Parapet
Background,0.9500545649979897,0.021880700948254877,0.027504724863861015,0.0005347096294229785,2.5299560471419702e-05
Pier,0.002811078972328798,0.8601455425280227,0.12790826600283986,0.009128299824352272,6.812672456416354e-06
Girder,0.0007412187632580993,0.01057701462220921,0.8307723645985607,0.1394150400985385,0.018494361917433477
Deck,3.236019416797768e-06,0.0,0.012133029011254706,0.963598017580442,0.02426571738888659
Parapet,4.218705877950117e-05,1.2636676592938139e-06,0.02178835219195306,0.03209103461817553,0.9460771624634327
