,Background,Pier,Girder,Deck,Parapet
Background,1389432.0,32000.0,40225.0,782.0,37.0
Pier,16505.0,5050268.0,751002.0,53596.0,40.0
Girder,4352.0,62102.0,4877806.0,818563.0,108588.0
Deck,19.0,0.0,71238.0,5657680.0,142474.0
Parapet,434.0,13.0,224148.0,330137.0,9732783.0
