Class,cb6.h5,cb9.h5
Background,95.62841653823853,88.26815485954285
Deck,94.47852969169617,94.03202533721924
Girder,94.0119743347168,94.5249617099762
Parapet,96.38752341270447,96.17347121238708
Pier,98.2633888721466,97.64150977134705
